unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
190,1,191,42.008,0.8416,40.0,445.0,550.22,1355.2,1132.96,3.91,5.71,138.52,2211.86,8326.3,1.02,42.49,130.74,2387.95,8084.4,9.4153,0.02,333,2212,100.0,10.53,6.3339,4,4
191,1,192,35.0013,0.8403,60.0,449.44,555.79,1374.4,1139.82,5.48,8.0,194.34,2223.04,8362.31,1.02,42.43,182.01,2388.11,8075.5,9.378,0.02,335,2223,100.0,14.86,8.9444,4,4
192,1,193,42.0058,0.84,40.0,445.0,550.76,1362.54,1134.7,3.91,5.72,138.62,2211.86,8325.09,1.02,42.46,130.59,2387.89,8087.12,9.4139,0.02,331,2212,100.0,10.59,6.4662,4,4
194,1,195,35.0003,0.84,60.0,449.44,555.91,1374.21,1145.9,5.48,8.0,194.05,2222.93,8345.73,1.02,42.28,182.65,2388.02,8069.15,9.3808,0.02,335,2223,100.0,14.71,8.9225,4,4
195,1,196,42.0008,0.8401,40.0,445.0,550.64,1358.66,1137.15,3.91,5.72,138.45,2211.91,8323.63,1.02,42.5,129.96,2387.92,8082.24,9.4206,0.02,333,2212,100.0,10.52,6.3715,4,4
198,1,199,41.9994,0.8407,40.0,445.0,550.49,1360.43,1143.14,3.91,5.71,137.44,2211.76,8326.1,1.02,42.5,130.05,2387.87,8083.8,9.4514,0.02,333,2212,100.0,10.73,6.3662,4,4
205,1,206,35.0032,0.84,60.0,449.44,556.77,1374.45,1139.93,5.48,8.0,194.37,2223.0,8358.77,1.02,42.43,182.28,2388.16,8068.13,9.3774,0.02,336,2223,100.0,14.67,8.7283,4,4
206,1,207,35.005,0.84,60.0,449.44,556.59,1373.97,1142.76,5.48,8.0,193.81,2223.04,8355.69,1.02,42.34,183.23,2388.07,8056.52,9.3995,0.02,336,2223,100.0,14.79,8.8257,4,4
209,1,210,35.0024,0.84,60.0,449.44,556.68,1378.02,1149.06,5.48,8.0,193.59,2223.04,8347.23,1.02,42.23,182.73,2388.14,8069.39,9.3947,0.02,336,2223,100.0,14.66,8.8825,4,4
211,1,212,35.0027,0.84,60.0,449.44,556.24,1375.78,1145.21,5.48,8.0,193.51,2223.04,8363.83,1.02,42.49,183.02,2388.14,8068.81,9.4,0.02,337,2223,100.0,14.69,8.8528,4,4
212,1,213,42.003,0.8418,40.0,445.0,550.36,1364.34,1146.7,3.91,5.71,138.08,2211.87,8329.7,1.02,42.6,130.48,2387.9,8083.15,9.47,0.02,332,2212,100.0,10.67,6.2138,4,4
216,1,217,35.0031,0.8412,60.0,449.44,556.79,1378.59,1135.83,5.48,8.0,194.24,2223.1,8357.02,1.02,42.47,182.81,2388.13,8069.69,9.3982,0.02,337,2223,100.0,14.8,8.6777,4,4
217,1,218,41.9993,0.84,40.0,445.0,550.25,1366.57,1146.32,3.91,5.72,137.82,2211.78,8331.71,1.02,42.68,130.11,2387.86,8080.2,9.4694,0.02,333,2212,100.0,10.6,6.389,4,4
218,1,219,35.0073,0.84,60.0,449.44,556.39,1381.5,1149.74,5.48,8.0,194.02,2223.1,8368.35,1.02,42.5,182.52,2388.11,8068.1,9.4265,0.02,337,2223,100.0,14.82,8.7966,4,4
219,1,220,35.0027,0.84,60.0,449.44,556.65,1375.43,1149.45,5.48,8.0,193.96,2223.01,8354.44,1.02,42.46,182.73,2388.15,8068.06,9.4148,0.02,338,2223,100.0,14.75,8.829,4,4
222,1,223,34.9992,0.84,60.0,449.44,556.6,1385.96,1150.47,5.48,8.01,194.41,2223.01,8355.68,1.02,42.67,182.61,2388.18,8070.86,9.4489,0.02,337,2223,100.0,14.7,8.6695,4,4
224,2,2,35.0026,0.8405,60.0,449.44,554.68,1357.66,1117.74,5.48,8.0,195.6,2223.03,8343.21,1.02,41.65,183.33,2388.07,8066.59,9.2676,0.02,334,2223,100.0,14.69,8.9947,2,4
225,2,3,42.0011,0.84,40.0,445.0,548.63,1347.31,1118.9,3.91,5.71,138.81,2212.03,8322.02,1.02,41.97,130.16,2388.05,8088.8,9.337,0.02,330,2212,100.0,10.7,6.383,2,4
226,2,4,42.0003,0.8407,40.0,445.0,548.88,1350.73,1125.61,3.91,5.71,138.98,2211.96,8319.13,1.02,41.8,130.75,2388.05,8086.3,9.32,0.02,329,2212,100.0,10.43,6.3872,2,4
228,2,6,35.0044,0.8419,60.0,449.44,554.45,1357.29,1124.18,5.48,8.0,194.79,2222.91,8342.79,1.02,41.77,183.05,2388.03,8065.96,9.2894,0.02,332,2223,100.0,14.83,8.9856,2,4
231,2,9,34.9999,0.8416,60.0,449.44,554.72,1362.78,1122.83,5.48,8.0,194.78,2222.95,8353.97,1.02,41.62,183.55,2388.01,8064.78,9.287,0.02,334,2223,100.0,14.95,8.951,2,4
232,2,10,35.0061,0.84,60.0,449.44,555.28,1368.59,1122.41,5.48,8.0,194.66,2222.96,8350.49,1.02,41.7,183.24,2388.08,8066.83,9.2609,0.02,332,2223,100.0,14.93,8.9847,2,4
235,2,13,42.0075,0.8411,40.0,445.0,549.39,1349.4,1116.34,3.91,5.72,138.76,2211.95,8325.14,1.02,41.81,130.83,2388.05,8083.26,9.2874,0.02,328,2212,100.0,10.83,6.2716,2,4
236,2,14,35.003,0.8401,60.0,449.44,555.24,1359.43,1115.66,5.48,8.0,194.37,2222.93,8345.04,1.02,41.64,183.03,2388.05,8071.13,9.2714,0.02,333,2223,100.0,14.89,8.9023,2,4
243,2,21,41.9981,0.8418,40.0,445.0,549.23,1353.72,1118.22,3.91,5.72,139.61,2211.93,8316.71,1.02,41.74,130.73,2388.01,8085.04,9.3291,0.02,328,2212,100.0,10.75,6.286,3,4
245,2,23,42.0043,0.84,40.0,445.0,548.94,1345.79,1114.37,3.91,5.72,138.13,2211.91,8320.4,1.02,41.86,130.39,2388.03,8083.99,9.3462,0.02,330,2212,100.0,10.51,6.3822,3,4
248,2,26,42.007,0.84,40.0,445.0,548.68,1350.81,1120.88,3.91,5.71,138.99,2211.99,8317.92,1.02,41.8,130.4,2388.09,8082.84,9.3129,0.02,330,2212,100.0,10.76,6.4323,3,4
251,2,29,42.0013,0.8418,40.0,445.0,549.44,1347.59,1119.25,3.91,5.71,137.85,2211.89,8320.31,1.02,41.77,130.95,2388.04,8087.37,9.3161,0.02,329,2212,100.0,10.52,6.321,3,4
253,2,31,42.0075,0.84,40.0,445.0,549.37,1352.08,1119.85,3.91,5.71,138.71,2211.92,8315.48,1.02,41.88,131.73,2388.02,8084.52,9.2892,0.02,329,2212,100.0,10.68,6.3917,3,4
256,2,34,42.0029,0.84,40.0,445.0,549.1,1349.62,1110.21,3.91,5.72,138.72,2212.01,8329.02,1.02,41.69,130.87,2388.07,8087.75,9.3269,0.02,329,2212,100.0,10.75,6.4348,3,4
259,2,37,35.0047,0.8402,60.0,449.44,555.22,1365.9,1116.9,5.48,8.0,194.54,2222.98,8347.7,1.02,41.68,183.28,2388.04,8075.57,9.3051,0.02,333,2223,100.0,14.85,8.8429,3,4
263,2,41,34.9989,0.84,60.0,449.44,555.11,1361.46,1134.39,5.48,8.0,194.84,2222.99,8350.03,1.02,41.81,183.65,2388.05,8065.08,9.3099,0.02,333,2223,100.0,14.81,9.0121,3,4
265,2,43,42.0043,0.8411,40.0,445.0,548.69,1353.17,1114.72,3.91,5.71,139.53,2211.97,8315.77,1.02,41.78,131.03,2388.01,8091.04,9.2995,0.02,330,2212,100.0,10.66,6.5368,3,4
268,2,46,35.0047,0.84,60.0,449.44,555.12,1369.4,1122.49,5.48,8.0,194.53,2222.94,8341.84,1.02,41.86,183.71,2388.04,8066.74,9.2917,0.02,336,2223,100.0,14.91,8.9834,3,4
275,2,53,34.9994,0.84,60.0,449.44,555.06,1357.63,1116.82,5.48,8.0,194.08,2222.99,8347.94,1.02,41.87,183.31,2388.0,8063.57,9.2902,0.02,333,2223,100.0,14.96,8.8787,3,4
277,2,55,42.0063,0.84,40.0,445.0,549.31,1352.35,1122.49,3.91,5.71,138.51,2211.98,8326.44,1.02,41.92,130.63,2388.06,8082.61,9.3319,0.02,330,2212,100.0,10.51,6.5157,3,4
281,2,59,42.0018,0.8402,40.0,445.0,549.33,1350.48,1117.38,3.91,5.71,138.17,2211.91,8322.64,1.02,41.87,130.9,2388.03,8084.56,9.3738,0.02,330,2212,100.0,10.48,6.3938,3,4
282,2,60,41.9985,0.8413,40.0,445.0,549.74,1353.75,1118.55,3.91,5.71,138.26,2211.95,8313.7,1.02,41.94,131.1,2388.01,8085.09,9.363,0.02,330,2212,100.0,10.61,6.3412,3,4
287,2,65,42.004,0.84,40.0,445.0,549.06,1349.8,1127.24,3.91,5.71,139.44,2212.04,8328.78,1.02,41.89,130.45,2388.0,8087.05,9.3353,0.02,329,2212,100.0,10.73,6.3664,3,4
288,2,66,35.0077,0.84,60.0,449.44,555.38,1361.08,1119.66,5.48,8.0,195.26,2222.96,8344.53,1.02,41.45,183.12,2388.06,8066.13,9.2999,0.02,333,2223,100.0,14.72,8.8638,3,4
289,2,67,42.0002,0.841,40.0,445.0,549.38,1352.26,1126.15,3.91,5.71,138.87,2211.93,8326.06,1.02,41.81,130.36,2388.02,8090.11,9.3471,0.02,329,2212,100.0,10.59,6.3545,3,4
292,2,70,42.0078,0.8404,40.0,445.0,548.82,1347.81,1120.96,3.91,5.72,139.21,2211.94,8320.72,1.02,41.87,130.53,2387.96,8085.62,9.3533,0.02,332,2212,100.0,10.7,6.3665,3,4
294,2,72,35.0033,0.8417,60.0,449.44,555.03,1362.41,1118.85,5.48,8.0,194.85,2222.93,8344.8,1.03,41.78,182.84,2388.05,8073.28,9.3228,0.02,333,2223,100.0,14.93,8.9286,3,4
297,2,75,42.0044,0.84,40.0,445.0,549.46,1348.75,1121.89,3.91,5.71,138.49,2211.92,8321.19,1.02,41.84,130.39,2387.98,8086.4,9.344,0.02,330,2212,100.0,10.73,6.3281,3,4
299,2,77,41.9988,0.8411,40.0,445.0,549.32,1337.99,1129.43,3.91,5.72,139.01,2211.9,8315.83,1.02,42.03,130.69,2387.97,8084.14,9.3016,0.02,329,2212,100.0,10.72,6.5001,3,4
